,p1,p2,average,accumulated,win_ratio,max_win,max_loss
0,5.0,10.0,0.083,4.318,0.365,0.904,-0.128
1,5.0,11.0,0.097,4.444,0.37,0.991,-0.128
2,5.0,12.0,0.097,4.176,0.349,0.991,-0.128
3,5.0,13.0,0.093,3.92,0.31,0.991,-0.121
4,5.0,14.0,0.091,3.736,0.317,1.016,-0.121
5,5.0,15.0,0.098,3.908,0.35,1.016,-0.121
6,5.0,16.0,0.087,3.734,0.326,1.016,-0.13
7,5.0,17.0,0.088,3.696,0.31,1.016,-0.13
8,5.0,18.0,0.102,4.164,0.293,1.824,-0.13
9,5.0,19.0,0.107,4.275,0.275,1.824,-0.134
10,5.0,20.0,0.111,4.338,0.256,1.824,-0.134
11,5.0,21.0,0.111,4.452,0.25,2.015,-0.134
12,5.0,22.0,0.105,4.502,0.256,2.015,-0.134
13,5.0,23.0,0.129,5.161,0.25,2.234,-0.134
14,5.0,24.0,0.132,5.033,0.263,2.234,-0.207
15,5.0,25.0,0.16,5.44,0.265,2.282,-0.207
16,5.0,26.0,0.175,5.417,0.258,2.282,-0.207
17,5.0,27.0,0.178,5.326,0.267,2.282,-0.207
18,5.0,28.0,0.181,5.253,0.276,1.98,-0.123
19,5.0,29.0,0.19,5.327,0.286,1.98,-0.123
20,5.0,30.0,0.192,5.172,0.296,1.98,-0.123
21,5.0,31.0,0.205,5.323,0.308,1.98,-0.123
22,5.0,32.0,0.195,5.277,0.296,1.98,-0.123
23,5.0,33.0,0.193,5.411,0.286,2.205,-0.131
24,5.0,34.0,0.188,5.438,0.276,2.205,-0.131
25,5.0,35.0,0.243,6.794,0.25,3.462,-0.151
26,5.0,36.0,0.279,6.976,0.28,3.412,-0.151
27,5.0,37.0,0.273,6.823,0.28,3.412,-0.151
28,5.0,38.0,0.268,6.693,0.28,3.412,-0.151
29,5.0,39.0,0.307,6.748,0.318,3.412,-0.151
30,5.0,40.0,0.29,6.678,0.304,3.412,-0.151
31,5.0,41.0,0.29,6.662,0.304,3.412,-0.151
32,5.0,42.0,0.282,6.487,0.261,3.412,-0.151
33,5.0,43.0,0.276,6.34,0.261,3.412,-0.151
34,5.0,44.0,0.277,5.822,0.286,3.412,-0.151
35,5.0,45.0,0.277,5.816,0.286,3.412,-0.16
36,5.0,46.0,0.293,5.864,0.3,3.412,-0.16
37,5.0,47.0,0.297,5.943,0.3,3.412,-0.16
38,5.0,48.0,0.301,6.019,0.3,3.412,-0.16
39,5.0,49.0,0.317,6.026,0.316,3.412,-0.16
40,5.0,50.0,0.319,6.056,0.316,3.412,-0.16
41,5.0,51.0,0.304,6.073,0.3,3.412,-0.16
42,5.0,52.0,0.31,6.206,0.3,3.462,-0.16
43,5.0,53.0,0.295,6.19,0.286,3.462,-0.16
44,5.0,54.0,0.312,6.24,0.3,3.462,-0.102
45,6.0,11.0,0.098,4.014,0.366,0.991,-0.128
46,6.0,12.0,0.1,3.891,0.359,0.991,-0.219
47,6.0,13.0,0.098,3.809,0.359,1.016,-0.219
48,6.0,14.0,0.098,3.834,0.333,1.016,-0.219
49,6.0,15.0,0.103,3.814,0.351,1.016,-0.219
50,6.0,16.0,0.111,4.211,0.316,1.824,-0.219
51,6.0,17.0,0.117,4.326,0.27,1.824,-0.219
52,6.0,18.0,0.111,4.229,0.289,1.824,-0.219
53,6.0,19.0,0.117,4.684,0.25,2.015,-0.219
54,6.0,20.0,0.143,5.286,0.243,2.234,-0.219
55,6.0,21.0,0.148,5.184,0.257,2.234,-0.16
56,6.0,22.0,0.145,5.224,0.278,2.234,-0.16
57,6.0,23.0,0.161,5.48,0.265,2.282,-0.207
58,6.0,24.0,0.183,5.494,0.267,2.282,-0.207
59,6.0,25.0,0.188,5.274,0.286,1.98,-0.131
60,6.0,26.0,0.195,5.263,0.296,1.98,-0.131
61,6.0,27.0,0.198,5.34,0.296,1.98,-0.113
62,6.0,28.0,0.214,5.356,0.32,1.98,-0.123
63,6.0,29.0,0.208,5.192,0.32,1.98,-0.123
64,6.0,30.0,0.199,5.165,0.308,1.98,-0.131
65,6.0,31.0,0.212,5.524,0.308,2.286,-0.131
66,6.0,32.0,0.221,5.519,0.32,2.205,-0.131
67,6.0,33.0,0.282,6.775,0.292,3.412,-0.131
68,6.0,34.0,0.326,7.174,0.318,3.412,-0.102
69,6.0,35.0,0.324,6.806,0.333,3.412,-0.151
70,6.0,36.0,0.305,6.711,0.318,3.412,-0.151
71,6.0,37.0,0.267,6.663,0.28,3.412,-0.151
72,6.0,38.0,0.276,6.617,0.292,3.412,-0.151
73,6.0,39.0,0.275,6.605,0.292,3.412,-0.151
74,6.0,40.0,0.302,6.641,0.273,3.412,-0.151
75,6.0,41.0,0.292,6.425,0.273,3.412,-0.151
76,6.0,42.0,0.279,5.867,0.286,3.412,-0.151
77,6.0,43.0,0.282,5.923,0.286,3.412,-0.16
78,6.0,44.0,0.297,5.942,0.3,3.412,-0.16
79,6.0,45.0,0.319,6.066,0.316,3.412,-0.16
80,6.0,46.0,0.319,6.066,0.316,3.412,-0.16
81,6.0,47.0,0.341,6.132,0.333,3.412,-0.16
82,6.0,48.0,0.323,6.134,0.316,3.412,-0.16
83,6.0,49.0,0.324,6.155,0.316,3.412,-0.16
84,6.0,50.0,0.343,6.169,0.333,3.412,-0.16
85,6.0,51.0,0.342,6.156,0.333,3.412,-0.16
86,6.0,52.0,0.325,6.183,0.316,3.412,-0.16
87,6.0,53.0,0.337,6.06,0.333,3.412,-0.191
88,6.0,54.0,0.318,6.05,0.316,3.412,-0.191
89,6.0,55.0,0.334,6.013,0.333,3.412,-0.191
90,7.0,12.0,0.107,3.835,0.361,1.016,-0.219
91,7.0,13.0,0.102,3.767,0.351,1.016,-0.219
92,7.0,14.0,0.108,3.876,0.361,1.016,-0.219
93,7.0,15.0,0.122,4.403,0.278,1.824,-0.219
94,7.0,16.0,0.12,4.332,0.278,1.824,-0.219
95,7.0,17.0,0.14,5.028,0.278,2.015,-0.219
96,7.0,18.0,0.158,5.519,0.257,2.234,-0.219
97,7.0,19.0,0.147,5.293,0.25,2.234,-0.219
98,7.0,20.0,0.158,5.211,0.303,2.282,-0.219
99,7.0,21.0,0.158,5.216,0.303,2.282,-0.219
100,7.0,22.0,0.2,5.613,0.286,2.282,-0.207
101,7.0,23.0,0.203,5.483,0.296,1.98,-0.16
102,7.0,24.0,0.215,5.378,0.32,1.98,-0.16
103,7.0,25.0,0.195,5.257,0.296,1.98,-0.121
104,7.0,26.0,0.196,5.298,0.296,1.98,-0.113
105,7.0,27.0,0.208,5.207,0.32,1.98,-0.14
106,7.0,28.0,0.207,5.181,0.32,1.98,-0.14
107,7.0,29.0,0.242,5.573,0.348,2.286,-0.131
108,7.0,30.0,0.239,5.488,0.348,2.056,-0.131
109,7.0,31.0,0.307,6.762,0.318,3.412,-0.131
110,7.0,32.0,0.352,7.042,0.35,3.412,-0.131
111,7.0,33.0,0.363,6.892,0.368,3.412,-0.134
112,7.0,34.0,0.361,6.854,0.368,3.412,-0.151
113,7.0,35.0,0.324,6.794,0.333,3.412,-0.151
114,7.0,36.0,0.358,6.798,0.368,3.412,-0.151
115,7.0,37.0,0.38,6.831,0.389,3.412,-0.151
116,7.0,38.0,0.352,6.69,0.316,3.412,-0.151
117,7.0,39.0,0.321,6.737,0.286,3.412,-0.151
118,7.0,40.0,0.286,5.997,0.286,3.412,-0.151
119,7.0,41.0,0.357,6.077,0.353,3.412,-0.16
120,7.0,42.0,0.358,6.082,0.353,3.412,-0.16
121,7.0,43.0,0.357,6.075,0.353,3.412,-0.16
122,7.0,44.0,0.335,6.028,0.333,3.412,-0.16
123,7.0,45.0,0.339,6.096,0.333,3.412,-0.16
124,7.0,46.0,0.34,6.12,0.333,3.412,-0.16
125,7.0,47.0,0.341,6.147,0.333,3.412,-0.16
126,7.0,48.0,0.339,6.103,0.333,3.412,-0.16
127,7.0,49.0,0.359,6.098,0.353,3.412,-0.191
128,7.0,50.0,0.36,6.125,0.353,3.412,-0.191
129,7.0,51.0,0.376,6.012,0.375,3.412,-0.191
130,7.0,52.0,0.377,6.035,0.375,3.412,-0.191
131,7.0,53.0,0.334,6.014,0.333,3.412,-0.191
132,7.0,54.0,0.355,6.042,0.353,3.412,-0.191
133,7.0,55.0,0.379,6.064,0.438,3.412,-0.191
134,7.0,56.0,0.378,6.053,0.375,3.412,-0.191
135,8.0,13.0,0.139,4.436,0.375,1.824,-0.219
136,8.0,14.0,0.13,4.434,0.294,1.824,-0.219
137,8.0,15.0,0.135,4.86,0.278,2.015,-0.219
138,8.0,16.0,0.167,5.516,0.273,2.234,-0.219
139,8.0,17.0,0.181,5.603,0.29,2.234,-0.219
140,8.0,18.0,0.148,5.169,0.257,2.282,-0.219
141,8.0,19.0,0.155,5.131,0.303,2.282,-0.219
142,8.0,20.0,0.172,5.518,0.281,2.282,-0.219
143,8.0,21.0,0.191,5.351,0.286,1.98,-0.219
144,8.0,22.0,0.206,5.363,0.308,1.98,-0.121
145,8.0,23.0,0.208,5.397,0.308,1.98,-0.121
146,8.0,24.0,0.229,5.493,0.333,1.98,-0.121
147,8.0,25.0,0.228,5.475,0.333,1.98,-0.14
148,8.0,26.0,0.222,5.117,0.348,1.841,-0.14
149,8.0,27.0,0.24,5.51,0.348,2.133,-0.14
150,8.0,28.0,0.244,5.606,0.348,2.133,-0.14
151,8.0,29.0,0.251,5.518,0.364,2.056,-0.131
152,8.0,30.0,0.321,6.746,0.333,3.412,-0.134
153,8.0,31.0,0.361,6.852,0.368,3.412,-0.134
154,8.0,32.0,0.383,6.898,0.389,3.412,-0.106
155,8.0,33.0,0.337,6.745,0.35,3.412,-0.151
156,8.0,34.0,0.382,6.876,0.389,3.412,-0.151
157,8.0,35.0,0.377,6.795,0.333,3.412,-0.151
158,8.0,36.0,0.403,6.858,0.353,3.412,-0.151
159,8.0,37.0,0.376,6.772,0.333,3.412,-0.151
160,8.0,38.0,0.378,6.799,0.333,3.412,-0.151
161,8.0,39.0,0.336,6.055,0.333,3.412,-0.16
162,8.0,40.0,0.357,6.071,0.353,3.412,-0.16
163,8.0,41.0,0.337,6.061,0.333,3.412,-0.16
164,8.0,42.0,0.336,6.047,0.333,3.412,-0.16
165,8.0,43.0,0.357,6.064,0.353,3.412,-0.16
166,8.0,44.0,0.384,6.145,0.375,3.412,-0.16
167,8.0,45.0,0.413,6.201,0.4,3.412,-0.16
168,8.0,46.0,0.412,6.174,0.4,3.412,-0.191
169,8.0,47.0,0.409,6.136,0.4,3.412,-0.191
170,8.0,48.0,0.442,6.182,0.429,3.412,-0.191
171,8.0,49.0,0.382,6.117,0.375,3.412,-0.191
172,8.0,50.0,0.378,6.041,0.375,3.412,-0.191
173,8.0,51.0,0.376,6.021,0.375,3.412,-0.191
174,8.0,52.0,0.376,6.015,0.375,3.412,-0.191
175,8.0,53.0,0.378,6.044,0.375,3.412,-0.191
176,8.0,54.0,0.355,6.03,0.353,3.412,-0.191
177,8.0,55.0,0.38,6.076,0.375,3.412,-0.191
178,8.0,56.0,0.377,6.033,0.375,3.412,-0.191
179,8.0,57.0,0.378,6.042,0.375,3.412,-0.191
180,9.0,14.0,0.147,5.128,0.286,2.015,-0.219
181,9.0,15.0,0.172,5.498,0.281,2.234,-0.219
182,9.0,16.0,0.179,5.363,0.3,2.234,-0.219
183,9.0,17.0,0.175,5.244,0.3,2.282,-0.219
184,9.0,18.0,0.156,5.154,0.303,2.282,-0.219
185,9.0,19.0,0.201,5.841,0.276,2.444,-0.219
186,9.0,20.0,0.206,5.366,0.308,1.98,-0.219
187,9.0,21.0,0.214,5.342,0.32,1.98,-0.219
188,9.0,22.0,0.226,5.43,0.333,1.98,-0.121
189,9.0,23.0,0.235,5.409,0.348,1.972,-0.173
190,9.0,24.0,0.25,5.251,0.381,1.841,-0.173
191,9.0,25.0,0.264,5.553,0.381,2.133,-0.14
192,9.0,26.0,0.268,5.634,0.381,2.133,-0.14
193,9.0,27.0,0.248,5.45,0.364,2.056,-0.14
194,9.0,28.0,0.317,6.666,0.333,3.412,-0.134
195,9.0,29.0,0.364,6.911,0.368,3.412,-0.134
196,9.0,30.0,0.374,6.733,0.389,3.412,-0.134
197,9.0,31.0,0.394,7.092,0.389,3.412,-0.124
198,9.0,32.0,0.412,7.001,0.412,3.412,-0.155
199,9.0,33.0,0.383,6.888,0.333,3.412,-0.155
200,9.0,34.0,0.408,6.931,0.353,3.412,-0.155
201,9.0,35.0,0.404,6.875,0.353,3.412,-0.151
202,9.0,36.0,0.401,6.811,0.353,3.412,-0.151
203,9.0,37.0,0.365,6.204,0.353,3.412,-0.151
204,9.0,38.0,0.354,6.012,0.353,3.412,-0.16
205,9.0,39.0,0.355,6.039,0.353,3.412,-0.16
206,9.0,40.0,0.355,6.043,0.353,3.412,-0.16
207,9.0,41.0,0.356,6.049,0.353,3.412,-0.16
208,9.0,42.0,0.414,6.211,0.4,3.412,-0.16
209,9.0,43.0,0.412,6.186,0.4,3.412,-0.16
210,9.0,44.0,0.408,6.114,0.4,3.412,-0.191
211,9.0,45.0,0.438,6.135,0.429,3.412,-0.191
212,9.0,46.0,0.436,6.103,0.429,3.412,-0.191
213,9.0,47.0,0.437,6.111,0.429,3.412,-0.191
214,9.0,48.0,0.43,6.017,0.429,3.412,-0.191
215,9.0,49.0,0.432,6.055,0.429,3.412,-0.191
216,9.0,50.0,0.439,6.149,0.429,3.412,-0.191
217,9.0,51.0,0.44,6.164,0.429,3.412,-0.191
218,9.0,52.0,0.405,6.079,0.4,3.412,-0.191
219,9.0,53.0,0.378,6.052,0.375,3.412,-0.191
220,9.0,54.0,0.404,6.054,0.4,3.412,-0.191
221,9.0,55.0,0.377,6.028,0.375,3.412,-0.191
222,9.0,56.0,0.377,6.024,0.375,3.412,-0.191
223,9.0,57.0,0.401,6.008,0.333,3.412,-0.195
224,9.0,58.0,0.402,6.029,0.4,3.412,-0.195
225,10.0,15.0,0.178,5.337,0.3,2.282,-0.219
226,10.0,16.0,0.173,5.204,0.3,2.282,-0.219
227,10.0,17.0,0.169,5.409,0.312,2.444,-0.219
228,10.0,18.0,0.216,5.829,0.296,2.444,-0.219
229,10.0,19.0,0.217,5.415,0.32,1.98,-0.219
230,10.0,20.0,0.215,5.38,0.32,1.98,-0.219
231,10.0,21.0,0.226,5.193,0.348,1.972,-0.219
232,10.0,22.0,0.234,5.386,0.348,1.938,-0.173
233,10.0,23.0,0.265,5.29,0.4,1.841,-0.173
234,10.0,24.0,0.281,5.618,0.4,2.133,-0.173
235,10.0,25.0,0.258,5.426,0.381,2.056,-0.14
236,10.0,26.0,0.334,6.674,0.35,3.412,-0.144
237,10.0,27.0,0.343,6.866,0.35,3.412,-0.134
238,10.0,28.0,0.353,6.705,0.368,3.412,-0.134
239,10.0,29.0,0.365,6.93,0.368,3.412,-0.127
240,10.0,30.0,0.423,7.189,0.412,3.412,-0.106
241,10.0,31.0,0.447,7.155,0.375,3.412,-0.155
242,10.0,32.0,0.433,6.93,0.375,3.412,-0.155
243,10.0,33.0,0.405,6.892,0.353,3.412,-0.155
244,10.0,34.0,0.404,6.871,0.353,3.412,-0.155
245,10.0,35.0,0.402,6.838,0.353,3.412,-0.155
246,10.0,36.0,0.353,5.999,0.353,3.412,-0.164
247,10.0,37.0,0.329,5.915,0.333,3.412,-0.16
248,10.0,38.0,0.372,5.956,0.375,3.412,-0.16
249,10.0,39.0,0.402,6.029,0.4,3.412,-0.16
