,p1,p2,average,accumulated,win_ratio,max_win,max_loss
0,5.0,10.0,0.002,1.128,0.308,0.195,-0.11
1,5.0,11.0,0.003,1.117,0.295,0.172,-0.102
2,5.0,12.0,0.002,1.046,0.285,0.172,-0.102
3,5.0,13.0,0.003,1.08,0.297,0.196,-0.102
4,5.0,14.0,0.003,1.173,0.302,0.186,-0.102
5,5.0,15.0,0.003,1.163,0.301,0.186,-0.102
6,5.0,16.0,0.003,1.187,0.292,0.186,-0.102
7,5.0,17.0,0.003,1.231,0.282,0.185,-0.102
8,5.0,18.0,0.004,1.325,0.293,0.185,-0.102
9,5.0,19.0,0.005,1.524,0.302,0.18,-0.102
10,5.0,20.0,0.005,1.548,0.312,0.18,-0.102
11,5.0,21.0,0.005,1.465,0.311,0.215,-0.102
12,5.0,22.0,0.005,1.586,0.306,0.215,-0.102
13,5.0,23.0,0.005,1.576,0.3,0.215,-0.096
14,5.0,24.0,0.006,1.559,0.288,0.239,-0.096
15,5.0,25.0,0.006,1.574,0.296,0.233,-0.102
16,5.0,26.0,0.006,1.622,0.305,0.233,-0.102
17,5.0,27.0,0.006,1.573,0.302,0.233,-0.102
18,5.0,28.0,0.006,1.58,0.308,0.233,-0.102
19,5.0,29.0,0.006,1.514,0.311,0.233,-0.102
20,5.0,30.0,0.007,1.605,0.316,0.25,-0.102
21,5.0,31.0,0.007,1.628,0.315,0.249,-0.102
22,5.0,32.0,0.007,1.595,0.323,0.249,-0.102
23,5.0,33.0,0.007,1.637,0.308,0.259,-0.102
24,5.0,34.0,0.007,1.685,0.307,0.259,-0.102
25,5.0,35.0,0.008,1.752,0.309,0.259,-0.102
26,5.0,36.0,0.008,1.759,0.312,0.257,-0.102
27,5.0,37.0,0.008,1.761,0.319,0.263,-0.11
28,5.0,38.0,0.009,1.791,0.319,0.263,-0.11
29,5.0,39.0,0.009,1.759,0.324,0.263,-0.11
30,5.0,40.0,0.009,1.773,0.315,0.263,-0.11
31,5.0,41.0,0.009,1.756,0.307,0.263,-0.11
32,5.0,42.0,0.008,1.678,0.305,0.263,-0.11
33,5.0,43.0,0.008,1.671,0.3,0.263,-0.11
34,5.0,44.0,0.009,1.774,0.311,0.263,-0.11
35,5.0,45.0,0.009,1.788,0.314,0.262,-0.11
36,5.0,46.0,0.009,1.776,0.316,0.262,-0.11
37,5.0,47.0,0.01,1.794,0.309,0.262,-0.11
38,5.0,48.0,0.01,1.843,0.307,0.268,-0.092
39,5.0,49.0,0.011,1.921,0.328,0.268,-0.092
40,5.0,50.0,0.011,1.931,0.331,0.268,-0.092
41,5.0,51.0,0.011,1.97,0.324,0.268,-0.092
42,5.0,52.0,0.012,1.988,0.321,0.268,-0.091
43,5.0,53.0,0.012,2.035,0.317,0.269,-0.091
44,5.0,54.0,0.012,2.026,0.315,0.269,-0.091
45,6.0,11.0,0.002,1.036,0.292,0.196,-0.102
46,6.0,12.0,0.003,1.158,0.31,0.186,-0.102
47,6.0,13.0,0.003,1.256,0.306,0.186,-0.102
48,6.0,14.0,0.003,1.253,0.298,0.186,-0.102
49,6.0,15.0,0.004,1.241,0.284,0.186,-0.096
50,6.0,16.0,0.004,1.359,0.288,0.214,-0.096
51,6.0,17.0,0.004,1.45,0.299,0.185,-0.096
52,6.0,18.0,0.005,1.541,0.302,0.18,-0.107
53,6.0,19.0,0.005,1.561,0.31,0.215,-0.107
54,6.0,20.0,0.005,1.545,0.307,0.215,-0.107
55,6.0,21.0,0.005,1.456,0.295,0.215,-0.107
56,6.0,22.0,0.005,1.501,0.289,0.215,-0.107
57,6.0,23.0,0.006,1.519,0.29,0.239,-0.107
