,p1,p2,average,accumulated,win_ratio,max_win,max_loss
0,5.0,10.0,0.087,4.356,0.36,1.517,-0.227
1,5.0,11.0,0.105,4.708,0.378,1.671,-0.167
2,5.0,12.0,0.107,4.794,0.356,1.671,-0.167
3,5.0,13.0,0.101,4.431,0.364,1.671,-0.176
4,5.0,14.0,0.103,4.447,0.372,1.671,-0.176
5,5.0,15.0,0.117,4.894,0.357,2.127,-0.176
6,5.0,16.0,0.132,5.29,0.375,2.248,-0.176
7,5.0,17.0,0.144,5.483,0.368,2.248,-0.176
8,5.0,18.0,0.176,6.34,0.333,3.381,-0.219
9,5.0,19.0,0.189,6.422,0.353,3.381,-0.176
10,5.0,20.0,0.199,6.559,0.364,3.381,-0.176
11,5.0,21.0,0.203,6.082,0.4,2.999,-0.16
12,5.0,22.0,0.213,6.164,0.414,2.999,-0.152
13,5.0,23.0,0.197,6.096,0.387,2.999,-0.151
14,5.0,24.0,0.219,6.145,0.393,2.999,-0.151
15,5.0,25.0,0.236,6.126,0.346,2.999,-0.159
16,5.0,26.0,0.27,6.202,0.391,2.999,-0.159
17,5.0,27.0,0.314,6.282,0.45,2.999,-0.159
18,5.0,28.0,0.334,6.342,0.421,2.999,-0.186
19,5.0,29.0,0.336,6.382,0.421,2.999,-0.186
20,5.0,30.0,0.338,6.426,0.421,2.899,-0.186
21,5.0,31.0,0.357,6.424,0.444,2.861,-0.186
22,5.0,32.0,0.353,6.352,0.444,2.861,-0.186
23,5.0,33.0,0.348,6.265,0.444,2.861,-0.186
24,5.0,34.0,0.329,6.259,0.421,2.861,-0.186
25,5.0,35.0,0.264,5.535,0.381,2.861,-0.186
26,5.0,36.0,0.229,5.499,0.333,2.861,-0.202
27,5.0,37.0,0.262,5.504,0.381,2.861,-0.202
28,5.0,38.0,0.298,5.966,0.35,2.897,-0.202
29,5.0,39.0,0.31,5.884,0.368,2.897,-0.202
30,5.0,40.0,0.343,6.177,0.333,2.897,-0.202
31,5.0,41.0,0.32,5.756,0.278,2.897,-0.202
32,5.0,42.0,0.319,5.743,0.278,2.897,-0.202
33,5.0,43.0,0.299,5.674,0.263,2.793,-0.202
34,5.0,44.0,0.301,5.717,0.263,2.793,-0.202
35,5.0,45.0,0.282,5.638,0.25,2.793,-0.202
36,5.0,46.0,0.298,5.671,0.263,2.793,-0.202
37,5.0,47.0,0.316,5.692,0.278,2.793,-0.202
38,5.0,48.0,0.311,5.596,0.278,3.085,-0.202
39,5.0,49.0,0.353,5.641,0.312,3.085,-0.211
40,5.0,50.0,0.356,5.697,0.312,3.085,-0.211
41,5.0,51.0,0.321,5.452,0.294,3.085,-0.211
42,5.0,52.0,0.371,5.571,0.333,3.125,-0.211
43,5.0,53.0,0.373,5.589,0.333,3.125,-0.211
44,5.0,54.0,0.373,5.59,0.333,3.125,-0.211
45,6.0,11.0,0.11,4.72,0.372,1.671,-0.263
46,6.0,12.0,0.103,4.444,0.372,1.671,-0.263
47,6.0,13.0,0.114,4.908,0.349,2.127,-0.263
48,6.0,14.0,0.125,5.145,0.366,2.248,-0.176
49,6.0,15.0,0.14,5.186,0.378,2.248,-0.219
50,6.0,16.0,0.184,6.455,0.343,3.381,-0.219
51,6.0,17.0,0.183,6.394,0.343,3.381,-0.219
52,6.0,18.0,0.205,6.562,0.375,3.381,-0.219
53,6.0,19.0,0.2,6.205,0.387,2.999,-0.176
54,6.0,20.0,0.195,6.052,0.387,2.999,-0.16
55,6.0,21.0,0.224,6.276,0.393,2.999,-0.152
56,6.0,22.0,0.228,6.162,0.407,2.999,-0.151
57,6.0,23.0,0.264,6.329,0.375,2.999,-0.151
58,6.0,24.0,0.287,6.323,0.409,2.999,-0.151
59,6.0,25.0,0.384,6.53,0.471,2.999,-0.151
60,6.0,26.0,0.356,6.4,0.444,2.96,-0.159
61,6.0,27.0,0.358,6.443,0.444,2.861,-0.159
62,6.0,28.0,0.352,6.344,0.444,2.861,-0.186
63,6.0,29.0,0.374,6.352,0.471,2.861,-0.186
64,6.0,30.0,0.374,6.36,0.471,2.861,-0.186
65,6.0,31.0,0.367,6.236,0.471,2.861,-0.186
66,6.0,32.0,0.318,5.733,0.444,2.861,-0.186
67,6.0,33.0,0.314,5.65,0.444,2.861,-0.186
68,6.0,34.0,0.291,5.814,0.4,2.897,-0.186
69,6.0,35.0,0.307,6.149,0.35,2.897,-0.182
70,6.0,36.0,0.354,6.026,0.412,2.897,-0.182
71,6.0,37.0,0.387,6.195,0.438,2.897,-0.182
72,6.0,38.0,0.33,5.602,0.353,2.897,-0.182
73,6.0,39.0,0.355,5.685,0.312,2.793,-0.182
74,6.0,40.0,0.356,5.688,0.312,2.793,-0.182
75,6.0,41.0,0.359,5.74,0.312,2.793,-0.182
76,6.0,42.0,0.364,5.83,0.312,2.793,-0.202
77,6.0,43.0,0.319,5.745,0.278,2.793,-0.202
78,6.0,44.0,0.279,5.305,0.263,2.793,-0.202
79,6.0,45.0,0.314,5.646,0.278,3.085,-0.211
80,6.0,46.0,0.357,5.709,0.312,3.085,-0.211
81,6.0,47.0,0.352,5.636,0.312,3.085,-0.211
82,6.0,48.0,0.384,5.763,0.333,3.085,-0.211
83,6.0,49.0,0.355,5.673,0.312,3.085,-0.211
84,6.0,50.0,0.366,5.484,0.333,3.085,-0.211
85,6.0,51.0,0.364,5.456,0.333,3.085,-0.211
86,6.0,52.0,0.395,5.536,0.357,3.085,-0.211
87,6.0,53.0,0.366,5.118,0.357,3.085,-0.211
88,6.0,54.0,0.365,5.111,0.357,3.085,-0.211
89,6.0,55.0,0.372,5.211,0.357,3.085,-0.211
90,7.0,12.0,0.13,5.192,0.375,2.248,-0.263
91,7.0,13.0,0.12,5.035,0.357,2.248,-0.263
92,7.0,14.0,0.142,5.268,0.378,2.124,-0.263
93,7.0,15.0,0.184,6.437,0.343,3.381,-0.219
94,7.0,16.0,0.191,6.496,0.353,3.381,-0.219
95,7.0,17.0,0.198,6.133,0.419,2.999,-0.219
96,7.0,18.0,0.194,6.017,0.387,2.999,-0.219
97,7.0,19.0,0.216,6.255,0.379,2.999,-0.16
98,7.0,20.0,0.258,6.188,0.417,2.999,-0.151
99,7.0,21.0,0.302,6.334,0.476,2.999,-0.151
100,7.0,22.0,0.301,6.317,0.429,2.999,-0.151
101,7.0,23.0,0.361,6.504,0.444,2.96,-0.151
102,7.0,24.0,0.382,6.491,0.471,2.861,-0.151
103,7.0,25.0,0.412,6.594,0.5,2.861,-0.151
104,7.0,26.0,0.408,6.527,0.5,2.861,-0.151
105,7.0,27.0,0.374,6.363,0.471,2.861,-0.173
106,7.0,28.0,0.372,6.328,0.471,2.861,-0.186
