,p1,p2,average,accumulated,win_ratio,max_win,max_loss
0,5.0,10.0,0.004,1.668,0.309,0.283,-0.085
1,5.0,11.0,0.004,1.751,0.316,0.283,-0.085
2,5.0,12.0,0.004,1.891,0.305,0.298,-0.085
3,5.0,13.0,0.005,1.953,0.315,0.298,-0.085
4,5.0,14.0,0.005,1.975,0.316,0.316,-0.085
5,5.0,15.0,0.006,2.115,0.333,0.316,-0.085
6,5.0,16.0,0.006,2.163,0.333,0.316,-0.085
7,5.0,17.0,0.007,2.281,0.339,0.316,-0.085
8,5.0,18.0,0.007,2.323,0.325,0.316,-0.085
9,5.0,19.0,0.007,2.303,0.32,0.316,-0.085
10,5.0,20.0,0.007,2.23,0.317,0.316,-0.085
11,5.0,21.0,0.008,2.299,0.321,0.316,-0.085
12,5.0,22.0,0.009,2.486,0.329,0.349,-0.085
13,5.0,23.0,0.009,2.443,0.322,0.334,-0.085
14,5.0,24.0,0.009,2.477,0.326,0.334,-0.092
15,5.0,25.0,0.009,2.447,0.312,0.334,-0.092
16,5.0,26.0,0.009,2.454,0.314,0.574,-0.092
17,5.0,27.0,0.009,2.381,0.312,0.574,-0.092
18,5.0,28.0,0.009,2.34,0.318,0.477,-0.092
19,5.0,29.0,0.009,2.211,0.312,0.477,-0.092
20,5.0,30.0,0.009,2.254,0.313,0.477,-0.069
21,5.0,31.0,0.009,2.29,0.303,0.477,-0.069
22,5.0,32.0,0.009,2.314,0.311,0.477,-0.069
23,5.0,33.0,0.01,2.451,0.326,0.477,-0.068
24,5.0,34.0,0.011,2.482,0.329,0.477,-0.068
25,5.0,35.0,0.011,2.443,0.332,0.477,-0.068
26,5.0,36.0,0.011,2.406,0.315,0.477,-0.068
27,5.0,37.0,0.011,2.392,0.317,0.477,-0.068
28,5.0,38.0,0.012,2.523,0.318,0.477,-0.068
29,5.0,39.0,0.013,2.614,0.338,0.477,-0.065
30,5.0,40.0,0.014,2.717,0.347,0.477,-0.065
31,5.0,41.0,0.014,2.734,0.33,0.477,-0.065
32,5.0,42.0,0.014,2.773,0.32,0.477,-0.065
33,5.0,43.0,0.014,2.688,0.313,0.477,-0.065
34,5.0,44.0,0.014,2.641,0.318,0.477,-0.065
35,5.0,45.0,0.014,2.675,0.312,0.477,-0.052
36,5.0,46.0,0.014,2.695,0.307,0.477,-0.052
37,5.0,47.0,0.015,2.744,0.317,0.477,-0.052
38,5.0,48.0,0.014,2.733,0.305,0.477,-0.052
39,5.0,49.0,0.015,2.753,0.315,0.529,-0.052
40,5.0,50.0,0.015,2.744,0.313,0.529,-0.053
41,5.0,51.0,0.015,2.686,0.309,0.529,-0.053
42,5.0,52.0,0.016,2.792,0.314,0.529,-0.052
43,5.0,53.0,0.016,2.753,0.316,0.529,-0.052
44,5.0,54.0,0.017,2.845,0.304,0.526,-0.052
45,6.0,11.0,0.005,1.892,0.319,0.298,-0.085
46,6.0,12.0,0.005,1.981,0.312,0.316,-0.085
47,6.0,13.0,0.006,2.168,0.334,0.316,-0.085
48,6.0,14.0,0.006,2.205,0.341,0.316,-0.085
49,6.0,15.0,0.007,2.213,0.339,0.316,-0.085
50,6.0,16.0,0.007,2.322,0.323,0.316,-0.085
51,6.0,17.0,0.008,2.378,0.333,0.316,-0.085
52,6.0,18.0,0.008,2.345,0.323,0.316,-0.085
53,6.0,19.0,0.009,2.4,0.333,0.316,-0.085
54,6.0,20.0,0.009,2.487,0.346,0.349,-0.085
55,6.0,21.0,0.01,2.55,0.357,0.334,-0.085
56,6.0,22.0,0.01,2.465,0.351,0.334,-0.092
57,6.0,23.0,0.01,2.471,0.352,0.334,-0.092
58,6.0,24.0,0.01,2.564,0.324,0.574,-0.092
59,6.0,25.0,0.01,2.44,0.327,0.477,-0.092
60,6.0,26.0,0.01,2.397,0.328,0.477,-0.092
61,6.0,27.0,0.01,2.363,0.314,0.477,-0.092
62,6.0,28.0,0.009,2.289,0.31,0.477,-0.092
63,6.0,29.0,0.009,2.162,0.303,0.477,-0.099
64,6.0,30.0,0.01,2.355,0.316,0.477,-0.069
65,6.0,31.0,0.01,2.374,0.326,0.477,-0.069
66,6.0,32.0,0.011,2.389,0.323,0.477,-0.068
67,6.0,33.0,0.012,2.494,0.336,0.477,-0.068
68,6.0,34.0,0.012,2.481,0.337,0.477,-0.068
