,p1,p2,p3,average,accumulated,win_ratio,max_win,max_loss
0,5.0,10.0,5.0,0.036,3.551,0.444,0.713,-0.207
1,5.0,10.0,6.0,0.032,2.983,0.409,0.713,-0.2
2,5.0,10.0,7.0,0.036,3.206,0.42,0.843,-0.196
3,5.0,10.0,8.0,0.035,3.043,0.409,0.843,-0.177
4,5.0,10.0,9.0,0.031,2.799,0.404,0.843,-0.202
5,5.0,10.0,10.0,0.033,2.932,0.404,0.843,-0.202
6,5.0,10.0,11.0,0.032,2.815,0.382,0.843,-0.202
7,5.0,10.0,12.0,0.035,3.081,0.352,0.878,-0.202
8,5.0,10.0,13.0,0.042,3.396,0.358,1.077,-0.202
9,5.0,10.0,14.0,0.04,3.218,0.358,1.077,-0.202
10,5.0,10.0,15.0,0.042,3.236,0.377,1.077,-0.202
11,5.0,10.0,16.0,0.044,3.357,0.368,1.077,-0.202
12,5.0,10.0,17.0,0.052,3.718,0.389,1.199,-0.202
13,5.0,10.0,18.0,0.056,3.845,0.406,1.199,-0.202
14,5.0,10.0,19.0,0.056,3.785,0.418,1.199,-0.208
15,5.0,11.0,5.0,0.035,3.323,0.448,0.713,-0.207
16,5.0,11.0,6.0,0.033,3.074,0.402,0.843,-0.2
17,5.0,11.0,7.0,0.037,3.272,0.42,0.843,-0.177
18,5.0,11.0,8.0,0.034,2.975,0.409,0.843,-0.177
19,5.0,11.0,9.0,0.033,2.931,0.404,0.843,-0.202
20,5.0,11.0,10.0,0.032,2.815,0.382,0.843,-0.202
21,5.0,11.0,11.0,0.034,2.987,0.341,0.878,-0.202
22,5.0,11.0,12.0,0.041,3.25,0.362,1.077,-0.202
23,5.0,11.0,13.0,0.04,3.173,0.367,1.077,-0.202
24,5.0,11.0,14.0,0.04,3.155,0.385,1.077,-0.202
25,5.0,11.0,15.0,0.049,3.559,0.384,1.199,-0.202
26,5.0,11.0,16.0,0.052,3.672,0.4,1.199,-0.202
27,5.0,11.0,17.0,0.056,3.788,0.397,1.199,-0.208
28,5.0,11.0,18.0,0.057,3.767,0.409,1.199,-0.208
29,5.0,11.0,19.0,0.055,3.631,0.394,1.199,-0.208
30,5.0,12.0,5.0,0.033,3.109,0.432,0.713,-0.2
31,5.0,12.0,6.0,0.036,3.242,0.427,0.843,-0.156
32,5.0,12.0,7.0,0.034,3.03,0.409,0.843,-0.177
33,5.0,12.0,8.0,0.033,2.968,0.389,0.843,-0.202
34,5.0,12.0,9.0,0.033,2.947,0.386,0.843,-0.202
35,5.0,12.0,10.0,0.035,3.081,0.352,0.878,-0.202
36,5.0,12.0,11.0,0.041,3.25,0.362,1.077,-0.202
37,5.0,12.0,12.0,0.041,3.183,0.372,1.077,-0.202
38,5.0,12.0,13.0,0.04,3.158,0.372,1.077,-0.202
39,5.0,12.0,14.0,0.05,3.6,0.389,1.199,-0.202
40,5.0,12.0,15.0,0.053,3.633,0.391,1.199,-0.208
41,5.0,12.0,16.0,0.053,3.593,0.397,1.199,-0.208
42,5.0,12.0,17.0,0.055,3.694,0.403,1.199,-0.208
43,5.0,12.0,18.0,0.057,3.715,0.4,1.199,-0.208
44,5.0,12.0,19.0,0.054,3.467,0.406,1.199,-0.208
45,5.0,13.0,5.0,0.037,3.454,0.415,0.843,-0.156
46,5.0,13.0,6.0,0.035,3.188,0.402,0.843,-0.177
47,5.0,13.0,7.0,0.033,3.004,0.391,0.843,-0.177
48,5.0,13.0,8.0,0.032,2.858,0.393,0.843,-0.202
49,5.0,13.0,9.0,0.032,2.867,0.352,0.843,-0.202
50,5.0,13.0,10.0,0.042,3.396,0.358,1.077,-0.202
51,5.0,13.0,11.0,0.04,3.173,0.367,1.077,-0.202
52,5.0,13.0,12.0,0.04,3.158,0.372,1.077,-0.202
53,5.0,13.0,13.0,0.049,3.571,0.384,1.199,-0.202
54,5.0,13.0,14.0,0.052,3.62,0.391,1.199,-0.208
55,5.0,13.0,15.0,0.055,3.67,0.403,1.199,-0.208
56,5.0,13.0,16.0,0.051,3.448,0.388,1.199,-0.208
57,5.0,13.0,17.0,0.054,3.54,0.4,1.199,-0.208
58,5.0,13.0,18.0,0.057,3.576,0.429,1.199,-0.208
59,5.0,13.0,19.0,0.058,3.588,0.419,1.199,-0.208
60,5.0,14.0,5.0,0.04,3.609,0.44,0.843,-0.159
61,5.0,14.0,6.0,0.033,3.084,0.387,0.843,-0.177
62,5.0,14.0,7.0,0.032,2.906,0.396,0.843,-0.202
63,5.0,14.0,8.0,0.032,2.878,0.371,0.843,-0.202
64,5.0,14.0,9.0,0.037,3.15,0.353,0.878,-0.202
65,5.0,14.0,10.0,0.04,3.218,0.358,1.077,-0.202
66,5.0,14.0,11.0,0.04,3.155,0.385,1.077,-0.202
67,5.0,14.0,12.0,0.05,3.6,0.389,1.199,-0.202
68,5.0,14.0,13.0,0.052,3.62,0.391,1.199,-0.208
69,5.0,14.0,14.0,0.055,3.67,0.403,1.199,-0.208
70,5.0,14.0,15.0,0.055,3.563,0.4,1.199,-0.206
71,5.0,14.0,16.0,0.055,3.525,0.422,1.199,-0.208
72,5.0,14.0,17.0,0.058,3.625,0.435,1.199,-0.208
73,5.0,14.0,18.0,0.059,3.604,0.426,1.199,-0.208
74,5.0,14.0,19.0,0.06,3.551,0.441,1.199,-0.208
75,5.0,15.0,5.0,0.036,3.372,0.419,0.843,-0.177
76,5.0,15.0,6.0,0.034,3.103,0.391,0.843,-0.177
77,5.0,15.0,7.0,0.033,2.96,0.393,0.843,-0.202
78,5.0,15.0,8.0,0.033,2.967,0.344,0.878,-0.202
79,5.0,15.0,9.0,0.041,3.25,0.362,1.077,-0.202
80,5.0,15.0,10.0,0.042,3.236,0.377,1.077,-0.202
81,5.0,15.0,11.0,0.049,3.559,0.384,1.199,-0.202
82,5.0,15.0,12.0,0.053,3.633,0.391,1.199,-0.208
83,5.0,15.0,13.0,0.055,3.67,0.403,1.199,-0.208
84,5.0,15.0,14.0,0.055,3.563,0.4,1.199,-0.206
85,5.0,15.0,15.0,0.055,3.525,0.422,1.199,-0.208
86,5.0,15.0,16.0,0.062,3.7,0.433,1.199,-0.208
87,5.0,15.0,17.0,0.061,3.639,0.433,1.199,-0.208
88,5.0,15.0,18.0,0.058,3.45,0.441,1.199,-0.208
89,5.0,15.0,19.0,0.057,3.355,0.424,1.199,-0.208
90,5.0,16.0,5.0,0.035,3.288,0.409,0.843,-0.177
91,5.0,16.0,6.0,0.034,3.126,0.391,0.843,-0.177
92,5.0,16.0,7.0,0.032,2.942,0.363,0.843,-0.202
93,5.0,16.0,8.0,0.037,3.22,0.349,0.878,-0.202
94,5.0,16.0,9.0,0.041,3.253,0.362,1.077,-0.202
95,5.0,16.0,10.0,0.044,3.357,0.368,1.077,-0.202
96,5.0,16.0,11.0,0.052,3.672,0.4,1.199,-0.202
97,5.0,16.0,12.0,0.053,3.593,0.397,1.199,-0.208
98,5.0,16.0,13.0,0.051,3.448,0.388,1.199,-0.208
99,5.0,16.0,14.0,0.055,3.525,0.422,1.199,-0.208
