,p1,p2,p3,average,accumulated,win_ratio,max_win,max_loss
0,5.0,10.0,5.0,0.001,0.778,0.385,0.16,-0.217
1,5.0,10.0,6.0,0.001,0.898,0.381,0.16,-0.217
2,5.0,10.0,7.0,0.001,0.851,0.37,0.161,-0.212
3,5.0,10.0,8.0,0.001,0.82,0.374,0.161,-0.212
4,5.0,10.0,9.0,0.001,0.762,0.366,0.161,-0.212
5,5.0,10.0,10.0,0.001,0.853,0.366,0.168,-0.215
6,5.0,10.0,11.0,0.001,0.932,0.368,0.168,-0.215
7,5.0,10.0,12.0,0.001,0.932,0.367,0.168,-0.215
8,5.0,10.0,13.0,0.001,0.944,0.367,0.168,-0.215
9,5.0,10.0,14.0,0.002,0.961,0.375,0.168,-0.215
10,5.0,10.0,15.0,0.002,1.041,0.38,0.214,-0.198
11,5.0,10.0,16.0,0.002,1.098,0.379,0.214,-0.198
12,5.0,10.0,17.0,0.002,1.161,0.375,0.214,-0.198
13,5.0,10.0,18.0,0.002,1.157,0.382,0.214,-0.205
14,5.0,10.0,19.0,0.002,1.265,0.38,0.214,-0.205
15,5.0,11.0,5.0,0.001,0.874,0.384,0.16,-0.217
16,5.0,11.0,6.0,0.001,0.874,0.372,0.161,-0.217
17,5.0,11.0,7.0,0.001,0.823,0.371,0.161,-0.212
18,5.0,11.0,8.0,0.001,0.788,0.367,0.161,-0.212
19,5.0,11.0,9.0,0.001,0.897,0.365,0.168,-0.215
20,5.0,11.0,10.0,0.001,0.932,0.368,0.168,-0.215
21,5.0,11.0,11.0,0.001,0.961,0.369,0.168,-0.215
22,5.0,11.0,12.0,0.001,0.937,0.372,0.168,-0.215
23,5.0,11.0,13.0,0.002,1.036,0.379,0.214,-0.215
24,5.0,11.0,14.0,0.002,1.022,0.374,0.214,-0.198
25,5.0,11.0,15.0,0.002,1.087,0.369,0.214,-0.198
26,5.0,11.0,16.0,0.002,1.14,0.379,0.214,-0.205
27,5.0,11.0,17.0,0.002,1.223,0.375,0.214,-0.205
28,5.0,11.0,18.0,0.003,1.425,0.384,0.221,-0.175
29,5.0,11.0,19.0,0.002,1.359,0.382,0.221,-0.175
30,5.0,12.0,5.0,0.001,0.908,0.375,0.16,-0.217
31,5.0,12.0,6.0,0.001,0.879,0.374,0.161,-0.212
32,5.0,12.0,7.0,0.001,0.746,0.37,0.161,-0.212
33,5.0,12.0,8.0,0.001,0.844,0.369,0.161,-0.212
34,5.0,12.0,9.0,0.001,0.912,0.367,0.168,-0.215
