,p1,p2,p3,average,accumulated,win_ratio,max_win,max_loss
0,5.0,10.0,5.0,0.044,3.872,0.42,0.968,-0.204
1,5.0,10.0,6.0,0.043,3.645,0.381,0.607,-0.204
2,5.0,10.0,7.0,0.045,3.648,0.395,0.607,-0.204
3,5.0,10.0,8.0,0.039,3.168,0.37,0.718,-0.28
4,5.0,10.0,9.0,0.037,2.798,0.395,0.718,-0.28
5,5.0,10.0,10.0,0.036,2.716,0.382,0.671,-0.28
6,5.0,10.0,11.0,0.039,2.901,0.405,0.671,-0.28
7,5.0,10.0,12.0,0.049,3.275,0.433,0.671,-0.28
8,5.0,10.0,13.0,0.045,3.066,0.397,0.671,-0.28
9,5.0,10.0,14.0,0.043,2.967,0.391,0.671,-0.28
10,5.0,10.0,15.0,0.039,2.669,0.397,0.742,-0.28
11,5.0,10.0,16.0,0.04,2.713,0.403,0.742,-0.28
12,5.0,10.0,17.0,0.042,2.719,0.415,0.742,-0.28
13,5.0,10.0,18.0,0.043,2.757,0.422,0.742,-0.28
14,5.0,10.0,19.0,0.038,2.5,0.415,0.619,-0.28
15,5.0,11.0,5.0,0.045,3.819,0.388,0.831,-0.204
16,5.0,11.0,6.0,0.041,3.478,0.393,0.607,-0.204
17,5.0,11.0,7.0,0.04,3.21,0.375,0.607,-0.204
18,5.0,11.0,8.0,0.039,3.038,0.385,0.718,-0.28
19,5.0,11.0,9.0,0.036,2.717,0.382,0.671,-0.28
20,5.0,11.0,10.0,0.039,2.901,0.405,0.671,-0.28
21,5.0,11.0,11.0,0.051,3.334,0.439,0.671,-0.28
22,5.0,11.0,12.0,0.046,3.081,0.403,0.671,-0.28
23,5.0,11.0,13.0,0.038,2.651,0.391,0.671,-0.28
24,5.0,11.0,14.0,0.038,2.617,0.391,0.742,-0.28
25,5.0,11.0,15.0,0.039,2.642,0.403,0.742,-0.28
26,5.0,11.0,16.0,0.043,2.8,0.415,0.742,-0.28
27,5.0,11.0,17.0,0.041,2.673,0.415,0.745,-0.28
28,5.0,11.0,18.0,0.04,2.564,0.406,0.619,-0.28
29,5.0,11.0,19.0,0.037,2.388,0.375,0.619,-0.28
30,5.0,12.0,5.0,0.04,3.479,0.372,0.607,-0.204
31,5.0,12.0,6.0,0.045,3.678,0.378,0.607,-0.204
32,5.0,12.0,7.0,0.041,3.206,0.38,0.718,-0.28
33,5.0,12.0,8.0,0.036,2.733,0.382,0.671,-0.28
34,5.0,12.0,9.0,0.04,2.982,0.405,0.671,-0.28
35,5.0,12.0,10.0,0.049,3.275,0.433,0.671,-0.28
36,5.0,12.0,11.0,0.046,3.081,0.403,0.671,-0.28
37,5.0,12.0,12.0,0.039,2.671,0.397,0.742,-0.28
38,5.0,12.0,13.0,0.039,2.677,0.397,0.742,-0.28
39,5.0,12.0,14.0,0.04,2.631,0.409,0.742,-0.28
40,5.0,12.0,15.0,0.042,2.663,0.406,0.742,-0.28
41,5.0,12.0,16.0,0.04,2.547,0.422,0.745,-0.28
42,5.0,12.0,17.0,0.038,2.423,0.381,0.619,-0.28
43,5.0,12.0,18.0,0.039,2.441,0.381,0.619,-0.28
44,5.0,12.0,19.0,0.042,2.582,0.387,0.619,-0.223
45,5.0,13.0,5.0,0.044,3.755,0.365,0.607,-0.204
46,5.0,13.0,6.0,0.04,3.288,0.349,0.718,-0.204
47,5.0,13.0,7.0,0.035,2.706,0.377,0.671,-0.28
48,5.0,13.0,8.0,0.039,2.982,0.395,0.671,-0.28
49,5.0,13.0,9.0,0.044,3.125,0.408,0.671,-0.28
50,5.0,13.0,10.0,0.045,3.066,0.397,0.671,-0.28
51,5.0,13.0,11.0,0.038,2.651,0.391,0.671,-0.28
52,5.0,13.0,12.0,0.039,2.677,0.397,0.742,-0.28
53,5.0,13.0,13.0,0.04,2.631,0.409,0.742,-0.28
54,5.0,13.0,14.0,0.041,2.632,0.406,0.742,-0.28
55,5.0,13.0,15.0,0.039,2.474,0.429,0.619,-0.28
56,5.0,13.0,16.0,0.04,2.475,0.387,0.619,-0.28
57,5.0,13.0,17.0,0.039,2.48,0.375,0.619,-0.223
58,5.0,13.0,18.0,0.046,2.737,0.4,0.619,-0.223
59,5.0,13.0,19.0,0.049,2.896,0.407,0.659,-0.223
60,5.0,14.0,5.0,0.044,3.744,0.388,0.607,-0.204
61,5.0,14.0,6.0,0.038,3.16,0.349,0.718,-0.28
62,5.0,14.0,7.0,0.037,2.81,0.395,0.671,-0.28
63,5.0,14.0,8.0,0.041,2.988,0.384,0.671,-0.28
64,5.0,14.0,9.0,0.048,3.264,0.412,0.671,-0.28
65,5.0,14.0,10.0,0.043,2.967,0.391,0.671,-0.28
66,5.0,14.0,11.0,0.038,2.617,0.391,0.742,-0.28
67,5.0,14.0,12.0,0.04,2.631,0.409,0.742,-0.28
68,5.0,14.0,13.0,0.041,2.632,0.406,0.742,-0.28
69,5.0,14.0,14.0,0.04,2.546,0.429,0.619,-0.28
70,5.0,14.0,15.0,0.04,2.475,0.387,0.619,-0.28
71,5.0,14.0,16.0,0.042,2.603,0.387,0.619,-0.223
72,5.0,14.0,17.0,0.045,2.715,0.4,0.619,-0.223
73,5.0,14.0,18.0,0.051,2.914,0.404,0.659,-0.223
74,5.0,14.0,19.0,0.062,3.423,0.4,0.805,-0.223
75,5.0,15.0,5.0,0.042,3.551,0.357,0.607,-0.204
76,5.0,15.0,6.0,0.035,2.825,0.375,0.671,-0.28
77,5.0,15.0,7.0,0.04,3.034,0.387,0.671,-0.28
78,5.0,15.0,8.0,0.044,3.091,0.4,0.671,-0.28
79,5.0,15.0,9.0,0.047,3.203,0.397,0.671,-0.28
80,5.0,15.0,10.0,0.039,2.669,0.397,0.742,-0.28
81,5.0,15.0,11.0,0.039,2.642,0.403,0.742,-0.28
82,5.0,15.0,12.0,0.042,2.663,0.406,0.742,-0.28
83,5.0,15.0,13.0,0.039,2.474,0.429,0.619,-0.28
84,5.0,15.0,14.0,0.04,2.475,0.387,0.619,-0.28
85,5.0,15.0,15.0,0.042,2.612,0.387,0.619,-0.223
86,5.0,15.0,16.0,0.049,2.914,0.407,0.659,-0.223
87,5.0,15.0,17.0,0.055,3.098,0.411,0.805,-0.223
88,5.0,15.0,18.0,0.062,3.421,0.4,0.805,-0.237
89,5.0,15.0,19.0,0.061,3.41,0.411,0.805,-0.237
90,5.0,16.0,5.0,0.04,3.364,0.357,0.718,-0.28
91,5.0,16.0,6.0,0.035,2.808,0.375,0.671,-0.28
92,5.0,16.0,7.0,0.042,3.128,0.378,0.671,-0.28
93,5.0,16.0,8.0,0.046,3.274,0.394,0.671,-0.28
94,5.0,16.0,9.0,0.041,2.808,0.397,0.742,-0.28
95,5.0,16.0,10.0,0.04,2.713,0.403,0.742,-0.28
96,5.0,16.0,11.0,0.043,2.8,0.415,0.742,-0.28
97,5.0,16.0,12.0,0.04,2.547,0.422,0.745,-0.28
98,5.0,16.0,13.0,0.04,2.475,0.387,0.619,-0.28
99,5.0,16.0,14.0,0.042,2.603,0.387,0.619,-0.223
100,5.0,16.0,15.0,0.049,2.914,0.407,0.659,-0.223
101,5.0,16.0,16.0,0.055,3.098,0.411,0.805,-0.223
102,5.0,16.0,17.0,0.06,3.368,0.393,0.805,-0.237
103,5.0,16.0,18.0,0.06,3.405,0.404,0.805,-0.237
104,5.0,16.0,19.0,0.064,3.544,0.382,0.805,-0.187
105,5.0,17.0,5.0,0.037,3.104,0.357,0.671,-0.28
106,5.0,17.0,6.0,0.036,2.877,0.392,0.671,-0.28
107,5.0,17.0,7.0,0.042,3.209,0.368,0.671,-0.28
108,5.0,17.0,8.0,0.045,3.173,0.386,0.671,-0.28
109,5.0,17.0,9.0,0.04,2.727,0.397,0.742,-0.28
110,5.0,17.0,10.0,0.042,2.719,0.415,0.742,-0.28
111,5.0,17.0,11.0,0.041,2.673,0.415,0.745,-0.28
112,5.0,17.0,12.0,0.038,2.423,0.381,0.619,-0.28
113,5.0,17.0,13.0,0.039,2.48,0.375,0.619,-0.223
114,5.0,17.0,14.0,0.045,2.715,0.4,0.619,-0.223
115,5.0,17.0,15.0,0.055,3.098,0.411,0.805,-0.223
116,5.0,17.0,16.0,0.06,3.368,0.393,0.805,-0.237
117,5.0,17.0,17.0,0.064,3.54,0.4,0.805,-0.237
118,5.0,17.0,18.0,0.062,3.328,0.389,0.805,-0.187
119,5.0,17.0,19.0,0.054,2.972,0.382,0.811,-0.186
120,5.0,18.0,5.0,0.038,3.117,0.378,0.671,-0.28
121,5.0,18.0,6.0,0.04,3.124,0.372,0.671,-0.28
122,5.0,18.0,7.0,0.045,3.322,0.392,0.671,-0.28
123,5.0,18.0,8.0,0.046,3.117,0.397,0.742,-0.28
124,5.0,18.0,9.0,0.04,2.704,0.388,0.742,-0.28
125,5.0,18.0,10.0,0.043,2.757,0.422,0.742,-0.28
126,5.0,18.0,11.0,0.04,2.564,0.406,0.619,-0.28
127,5.0,18.0,12.0,0.039,2.441,0.381,0.619,-0.28
128,5.0,18.0,13.0,0.046,2.737,0.4,0.619,-0.223
129,5.0,18.0,14.0,0.051,2.914,0.404,0.659,-0.223
130,5.0,18.0,15.0,0.062,3.421,0.4,0.805,-0.237
131,5.0,18.0,16.0,0.06,3.405,0.404,0.805,-0.237
132,5.0,18.0,17.0,0.062,3.328,0.389,0.805,-0.187
133,5.0,18.0,18.0,0.053,2.902,0.382,0.811,-0.186
134,5.0,18.0,19.0,0.051,2.896,0.368,0.811,-0.212
135,5.0,19.0,5.0,0.036,2.947,0.378,0.671,-0.28
136,5.0,19.0,6.0,0.039,3.139,0.362,0.671,-0.28
137,5.0,19.0,7.0,0.044,3.289,0.392,0.671,-0.28
138,5.0,19.0,8.0,0.041,2.759,0.412,0.742,-0.28
139,5.0,19.0,9.0,0.045,2.952,0.431,0.742,-0.28
140,5.0,19.0,10.0,0.038,2.5,0.415,0.619,-0.28
141,5.0,19.0,11.0,0.037,2.388,0.375,0.619,-0.28
142,5.0,19.0,12.0,0.042,2.582,0.387,0.619,-0.223
143,5.0,19.0,13.0,0.049,2.896,0.407,0.659,-0.223
144,5.0,19.0,14.0,0.062,3.423,0.4,0.805,-0.223
